,Text,Predicted
1,"I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,
",1
2,"Oh and I forgot to also mention the weird color effect it has on your phone.,
",0
3,"""Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data."",
",0
4,"Better than you'd expect.,
",0
5,"This is a great little item.,
",1
6,"""Nice case, feels good in your hands."",
",0
7,"Do not make the same mistake as me.,
",1
8,"However I needed some better instructions.,
",0
9,"Nice design and quality.,
",0
10,"It was a waste of my money.,
",0
11,"0,""This is an excellent tool, especially when paired with your phone's auto-answer."",
",1
12,"1,This is essentially a communications tool that does not communicate.,
",0
13,"2,How stupid is that?,
",0
14,"3,The phone is sturdy and waterproof.,
",1
15,"4,The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,
",0
16,"5,What a big waste of time.,
",0
17,"6,""Another note about this phone's appearance is that it really looks rather bland, especially in the all black model."",
",1
18,"7,""bad fit, way too big."",
",0
19,"8,""You can not answer calls with the unit, never worked once!"",
",0
20,"9,You won't regret it!,
",0
21,"0,It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,
",1
22,"1,The commercials are the most misleading.,
",1
23,"2,I don't think it would hold it too securly on your belt.,
",1
24,"3,This is cool because most cases are just open there allowing the screen to get all scratched up.,
",0
25,"4,Great sound and service.,
",1
26,"5,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,
",1
27,"6,Does not fit.,
",0
28,"7,I have two more years left in this contract and I hate this phone.,
",0
29,"8,It is so small and you don't even realize that it is there after a while of getting used to it.,
",0
30,"9,""I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!"",
",1
31,"0,Battery is holding up well.,
",0
32,"1,best bluetooth on the market.,
",1
33,"2,""but it is great, i would really recommend it"",
",1
34,"3,Jawbone Era is awesome too!,
",1
35,"4,I've bought $5 wired headphones that sound better than these.,
",0
36,"5,I bought it for my mother and she had a problem with the battery.,
",0
37,"6,This case seems well made.,
",1
38,"7,I love the look and feel of Samsung flipphones.,
",1
39,"8,""If you are looking for a good quality Motorola Headset keep looking, this isn't it."",
",1
40,"9,I ended up sliding it on the edge of my pants or back pockets instead.,
",0
41,"0,Seller shipped quickly and much cheaper than the competitors.,
",0
42,"1,This phone tries very hard to do everything but fails at it's very ability to be a phone.,
",1
43,"2,It has kept up very well.,
",1
44,"3,Love this product.,
",1
45,"4,Due to this happening on every call I was forced to stop using this headset.,
",0
46,"5,""When it opens, the battery connection is broken and the device is turned off."",
",1
47,"6,It defeats the purpose of a bluetooth headset.,
",1
48,"7,""I have only had it for a few weeks, but so far, so good."",
",1
49,"8,""The seller is very understanding and patient, I would definitely buy from them again."",
",1
50,"9,Price is good too.,
",1
51,"0,""Perhaps my phone is defective, but people cannot hear me when I use this."",
",0
52,"1,It looks very nice.,
",1
53,"2,""The biggest complaint I have is, the battery drains superfast."",
",1
54,"3,This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,
",1
55,"4,Everything about it is fine and reasonable for the price i.e.,
",1
56,"5,Trying to make a call on these is an exercise in frustration.,
",0
57,"6,Yes it's shiny on front side - and I love it!,
",1
58,"7,Great phone!.,
",1
59,"8,Nice docking station for home or work.,
",1
60,"9,Works great.,
",1
61,"0,It didn't charge for me.,
",0
62,"1,""I have had this phone for over a year now, and I will tell you, its not that great."",
",1
63,"2,""I've only had my bluetooth for a few weeks, but I really like it."",
",1
64,"3,This BlueAnt Supertooth hands-free phone speaker is AWESOME.,
",1
65,"4,Improper description.... I had to return it.,
",0
66,"5,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,
",1
67,"6,The picture resolution is far below what other comparably-priced phones are offering today.,
",1
68,"7,""However, the keypads are so tinny that I sometimes reach the wrong buttons."",
",0
69,"8,""Small, sleek, impressive looking, practical setup with ample storage in place."",
",1
70,"9,""After 3 months, screen just went black all of a sudden."",
",0
71,"0,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,
",1
72,"1,Virgin Wireless rocks and so does this cheap little phone!,
",1
73,"2,I would highly recommend this product.,
",1
74,"3,Good price.,
",1
75,"4,I'm a bit disappointed.,
",0
76,"5,Great for using with your home stereo.,
",1
77,"6,These are fabulous!,
",1
78,"7,""Bought mainly for the charger, which broke soon after purchasing."",
",0
79,"8,disappointing.,
",1
80,"9,I own 2 of these cases and would order another.,
",0
